QLBES version12-12-2017,,,,,,,,
Starting_2108,hours,GMT,13_Dec2017,,,,,
wallets,1000,blocks,5000,,,,,
Using Python secrets module for cryptographically strong random numbers,,,,,,,,
useRetarget = True, retarget on every block,,,,,,,
Using target scaling, targetScalingFactor,1.05,starting step,16,,,,
Loading wallets with Mainnet distribuition,,,,,,,,
useDynamicWeights = False, wallet weights are fixed during the simulation run,,,,,,,
trueNetworkWeight,20026263,,,,,,,
block,wallet,wallet weight,true network weight,new network weight,network weight,target,difficulty,spacing
217,662,11288,20026263,19424000,18450430.08,761331.7075,3541032.08,320
218,471,6704,20026263,19427250,18570060.73,759178.3917,3551075.78,64
219,37,100167,20026263,19430500,18597593.21,766693.6808,3516267.406,352
220,461,6464,20026263,19433750,18285916.8,768862.1621,3506350.205,192
221,17,155605,20026263,19437000,18371956.61,767774.8548,3511315.828,96
222,985,19040,20026263,19440250,18336619.04,765603.3155,3521275.242,64
223,826,15224,20026263,19443750,18704796.67,764520.6168,3526262.001,96
224,932,17768,20026263,19447000,18926600.15,760736.5303,3543802.476,16
225,778,14072,20026263,19450250,19459206.69,759660.7141,3548821.138,96
226,23,130124,20026263,19453500,19189702.25,761809.3038,3538812.124,192
227,11,185594,20026263,19456750,19189528.64,758577.3039,3553889.612,32
228,41,88514,20026263,19460000,19189354.65,756968.1599,3561444.382,80
229,84,20941,20026263,19463500,19189180.18,754827.1858,3571545.979,64
230,0,1911538,20026263,19466750,19089366.92,758029.5638,3556457.596,224
231,803,14672,20026263,19470000,19356653.66,756421.5817,3564017.825,80
232,14,168298,20026263,19473250,19222478.84,756956.4387,3561499.529,144
233,0,1911538,20026263,19476500,19222492.33,753209.792,3579215.284,16
234,0,1911538,20026263,19479750,18606264.46,760665.9965,3544131.081,352
235,655,11120,20026263,19483250,18729258.31,758514.5635,3554183.571,64
236,28,118654,20026263,19486500,18663138.26,763877.9333,3529228.798,288
237,936,17864,20026263,19489750,18723478.13,761177.2865,3541750.454,48
238,18,146705,20026263,19493000,18346677.84,763868.3853,3529272.911,208
239,6,223571,20026263,19496250,18464862.87,761707.8949,3539283.258,64
240,0,1911538,20026263,19499500,18522833.47,759553.5151,3549321.998,64
241,27,119935,20026263,19502750,18612966.66,757942.3003,3556867.058,80
242,10,193253,20026263,19506000,18641235.2,761693.8266,3539348.628,240
243,739,13136,20026263,19509250,18450690.98,761155.2417,3541853.031,112
244,25,127707,20026263,19512500,18477526.38,759002.425,3551899.06,64
245,16,157617,20026263,19515750,18567082.91,755245.6515,3569567.06,16
246,962,18488,20026263,19519000,18501169.2,753643.5748,3577155.157,80
247,591,9584,20026263,19522250,18282065.28,755242.253,3569583.123,176
248,87,18650,20026263,19525500,18156268.32,757378.3457,3559515.552,192
249,615,10160,20026263,19528750,18180558.51,753629.6107,3577221.438,16
250,962,18488,20026263,19531750,18326589.75,749899.4306,3595015.398,16
251,58,52806,20026263,19535000,18414031.63,749369.1852,3597559.191,112
252,867,16208,20026263,19538250,18017148.34,758376.9817,3554828.357,400
253,987,19088,20026263,19541500,18341889.79,760521.9405,3544802.4,192
254,639,10736,20026263,19544500,18398887.62,757295.4023,3559905.411,32
255,5,258679,20026263,19547750,18394725.21,753547.0778,3577613.236,16
256,95,14786,20026263,19550750,18177205.58,754079.9024,3575085.335,144
257,690,11960,20026263,19554000,17992909.36,758878.7138,3552478.085,272
258,600,9800,20026263,19557000,18286622.39,755122.5526,3570148.965,16
259,71,31644,20026263,19560250,17923089.51,758326.1837,3555066.484,224
260,955,18320,20026263,19563250,17887073.49,755108.9611,3570213.226,32
261,14,168298,20026263,19566250,17821911.46,753507.1744,3577802.696,80
262,0,1911538,20026263,19569500,18169599.55,754039.9707,3575274.66,144
263,38,97994,20026263,19572500,18044571.82,757772.182,3557665.568,240
264,83,21069,20026263,19575500,18249375.52,758843.8061,3552641.503,160
265,655,11120,20026263,19578500,18777131.62,763136.3643,3532658.285,256
266,1,892220,20026263,19581500,18647447.96,764215.5743,3527669.536,160
267,7,209804,20026263,19584500,19100859.61,760973.3657,3542699.55,32
268,938,17912,20026263,19587500,19440403.45,759359.139,3550230.532,80
269,1,892220,20026263,19590500,19271286.74,759359.139,3550230.532,128
270,21,137152,20026263,19593500,19137582.49,757748.3365,3557777.523,80
271,3,800279,20026263,19596500,19038046.8,758284.1317,3555263.637,144
272,16,157617,20026263,19599250,18744291.86,760428.8279,3545236.452,192
273,10,193253,20026263,19602250,18871767.2,760966.5184,3542731.428,144
274,969,18656,20026263,19605250,18903242.83,757738.094,3557825.614,32
275,2,825187,20026263,19608000,18804803.54,758809.6699,3552801.324,160
276,24,128423,20026263,19611000,18999277.64,757736.5786,3557832.73,96
277,26,122460,20026263,19613750,19031940.49,759879.7261,3547798.299,192
278,74,27624,20026263,19616500,19031731.73,756655.9125,3562914.074,32
279,590,9560,20026263,19619500,19031521.93,752910.7534,3580636.866,16
280,266,1784,20026263,19622250,19131174.48,751313.6296,3588248.494,80
281,5,258679,20026263,19625000,19064840.59,751313.6296,3588248.494,128
282,5,258679,20026263,19627750,18965641.59,750251.1391,3593330.099,96
283,39,91384,20026263,19630500,18737626.37,760330.525,3545694.815,432
284,34,105168,20026263,19633250,18513710.21,761943.3881,3538189.375,176
285,816,14984,20026263,19636000,18510592.4,758172.0579,3555789.18,16
286,18,146705,20026263,19638750,18413951.3,763533.0058,3530823.133,288
287,5,258679,20026263,19641500,18566731.02,761373.464,3540837.877,64
