QLBES version12-12-2017,,,,,,,,
Starting_2108,hours,GMT,13_Dec2017,,,,,
wallets,1000,blocks,5000,,,,,
Using Python secrets module for cryptographically strong random numbers,,,,,,,,
useRetarget = True, retarget on every block,,,,,,,
Using target scaling, targetScalingFactor,1.05,starting step,16,,,,
Loading wallets with Mainnet distribuition,,,,,,,,
useDynamicWeights = False, wallet weights are fixed during the simulation run,,,,,,,
trueNetworkWeight,20026263,,,,,,,
block,wallet,wallet weight,true network weight,new network weight,network weight,target,difficulty,spacing
2174,4,431691,20026263,18832000,19253419.71,784089.6409,3438254.836,48
2175,954,18296,20026263,18832750,19325642.65,781317.5368,3450453.718,48
2176,34,105168,20026263,18833500,19225239.46,784079.8403,3438297.813,208
2177,286,2264,20026263,18834250,19262456.62,784079.8403,3438297.813,128
2178,887,16688,20026263,18835250,18926190.22,789069.5653,3416555.547,272
2179,810,14840,20026263,18836000,18762069.99,788511.6232,3418973.063,112
2180,2,825187,20026263,18837000,19061706.68,784608.7904,3435979.858,16
2181,738,13112,20026263,18838000,19372691.75,781280.063,3450619.218,32
2182,25,127707,20026263,18839000,19411213.31,779070.3262,3460406.473,64
2183,14,168298,20026263,18840000,19520659.88,777417.711,3467762.519,80
2184,6,223571,20026263,18841000,19176952.38,779066.8205,3460422.045,176
2185,617,10208,20026263,18842000,18744880.91,782372.036,3445803.117,224
2186,889,16736,20026263,18843000,18022332.71,791223.3371,3407255.415,384
2187,497,7328,20026263,18844250,17868546.05,790104.4071,3412080.702,96
2188,8,198284,20026263,18845500,17288740.38,797367.1664,3381002.02,336
2189,16,157617,20026263,18846500,17420933.46,796239.548,3385790.127,96
2190,78,22076,20026263,18847750,17357406.17,800180.6311,3369114.291,240
2191,2,825187,20026263,18849000,17183131.37,801312.2283,3364356.495,160
2192,3,800279,20026263,18850250,17065325.66,801878.827,3361979.278,144
2193,709,12416,20026263,18851500,17445030.27,799610.8296,3371515.117,64
2194,27,119935,20026263,18852750,17186352.43,803003.2036,3357271.786,224
2195,86,19438,20026263,18854250,17150523.16,799596.4373,3371575.803,32
2196,2,825187,20026263,18855500,17478024.85,795638.7389,3388346.832,16
2197,3,800279,20026263,18857000,17414525.36,793950.9777,3395549.695,80
2198,61,47045,20026263,18858250,17407598.86,795073.765,3390754.567,160
2199,930,17720,20026263,18859750,16905331.55,805755.3288,3345804.742,432
2200,755,13520,20026263,18861250,17003323.87,804615.848,3350543.003,96
2201,949,18176,20026263,18862750,17213512.88,800633.3054,3367209.41,16
2202,863,16112,20026263,18864000,16668210.93,810257.3225,3327214.608,400
2203,34,105168,20026263,18865500,16683523.71,807392.7041,3339019.521,48
2204,15,167033,20026263,18867250,16777945.79,807392.7041,3339019.521,128
2205,85,19996,20026263,18868750,16767890.03,803967.3152,3353245.771,32
2206,48,77925,20026263,18870250,16810769.31,802830.363,3357994.571,96
2207,7,209804,20026263,18871750,16539716.36,805668.7238,3346164.398,208
2208,15,167033,20026263,18873500,16325313.53,806238.403,3343800.035,144
2209,12,181074,20026263,18875000,16090414.11,809658.8947,3329673.789,224
2210,2,825187,20026263,18876500,16028139.07,806796.392,3341487.427,48
2211,807,14768,20026263,18878250,16185397.28,804514.486,3350965.144,64
2212,3,800279,20026263,18879750,15905158.61,807358.8009,3339159.735,208
2213,792,14408,20026263,18881500,15866775.32,805646.1784,3346258.038,80
2214,852,15848,20026263,18883250,15971852.31,801658.536,3362903.13,16
2215,338,3512,20026263,18884750,15861866.19,800524.8488,3367665.606,96
2216,0,1911538,20026263,18886500,15943019.44,797694.639,3379614.038,48
2217,576,9224,20026263,18888250,15928906.24,797694.639,3379614.038,128
2218,11,185594,20026263,18889750,16436422.7,794310.3945,3394013.246,32
2219,666,11384,20026263,18891500,16348787.25,794872.0423,3391615.073,144
2220,634,10616,20026263,18893250,16439339.55,790937.7278,3408485.783,16
2221,0,1911538,20026263,18895000,16326325.69,794852.5689,3391698.166,240
2222,22,134073,20026263,18896750,16520038.22,792042.4131,3403731.865,48
2223,44,83613,20026263,18898250,16483708.92,789242.1925,3415808.26,48
2224,27,119935,20026263,18900000,16525008.03,785893.8077,3430361.677,32
2225,1,892220,20026263,18901750,16514663.74,782003.932,3447425.121,16
2226,3,800279,20026263,18903500,16930960.23,781450.986,3449864.481,112
2227,20,139336,20026263,18905250,17033206.72,784766.3163,3435290.154,224
2228,0,1911538,20026263,18907000,17278809.55,781991.8199,3447478.518,48
2229,1,892220,20026263,18908500,17681335.56,778674.1951,3462166.869,32
2230,11,185594,20026263,18910250,18012379.75,776471.8286,3471986.878,64
2231,1,892220,20026263,18912000,18010948.31,773177.6225,3486779.65,32
2232,252,1448,20026263,18913750,17705051.22,775911.1478,3474495.769,208
2233,992,19208,20026263,18915500,17792116.87,780300.2509,3454952.112,256
2234,55,57735,20026263,18917000,17699230.45,780300.2509,3454952.112,128
2235,5,258679,20026263,18918750,17666167.36,776989.8026,3469672.306,32
2236,4,431691,20026263,18920500,18059018.21,774242.7996,3481982.656,48
2237,1,892220,20026263,18922250,18472190.97,773695.3414,3484446.468,112
2238,989,19136,20026263,18923750,18737934.58,776430.697,3472170.807,208
2239,19,139439,20026263,18925500,19328564.15,772587.6602,3489442.22,16
2240,405,5120,20026263,18927250,19299118.47,770948.7965,3496859.989,80
2241,0,1911538,20026263,18928750,19593680.08,770403.6674,3499334.328,112
2242,48,77925,20026263,18930500,19601298.27,767135.2057,3514243.617,32
2243,8,198284,20026263,18932250,19793862.89,764965.4756,3524211.335,64
2244,36,104336,20026263,18933750,19915240.4,763883.6789,3529202.252,96
2245,521,7904,20026263,18935500,19924610.3,761183.0118,3541723.814,48
2246,31,109767,20026263,18937250,19746705.46,761183.0118,3541723.814,128
2247,64,38078,20026263,18938750,19644280.41,760106.5642,3546739.532,96
2248,31,109767,20026263,18940500,19874789.83,759569.1016,3549249.166,112
2249,42,84719,20026263,18942000,19660798.37,762791.5973,3534254.978,224
2250,68,32677,20026263,18943750,19966900.79,763330.9585,3531757.713,144
2251,14,168298,20026263,18945250,20128972.76,760632.2456,3544288.341,48
2252,967,18608,20026263,18947000,20100835.04,757405.2394,3559389.162,32
2253,1,892220,20026263,18948500,19920902.01,756869.6868,3561907.746,112
2254,1,892220,20026263,18950250,20043554.42,753123.4695,3579625.532,16
2255,476,6824,20026263,18951750,19679197.67,756851.1445,3561995.01,240
2256,850,15800,20026263,18953500,19947150.37,754710.5013,3572098.169,64
2257,33,105197,20026263,18955000,20379755.6,752042.2655,3584771.925,48
2258,780,14120,20026263,18956500,21040548.4,752042.2655,3584771.925,128
2259,29,115146,20026263,18958250,21097661.24,750446.984,3592392.344,80
2260,312,2888,20026263,18959750,21989809.7,746732.5567,3610261.768,16
2261,3,800279,20026263,18961500,21739329.69,748844.5809,3600079.468,192
2262,0,1911538,20026263,18963000,22120956.1,748315.0814,3602626.844,112
2263,47,78439,20026263,18964750,21557395.07,756251.957,3564817.221,368
2264,38,97994,20026263,18966250,21751421.3,754647.7456,3572395.221,80
2265,916,17384,20026263,18968000,21593082.02,754647.7456,3572395.221,128
2266,909,17216,20026263,18969500,22012636.31,753046.9373,3579989.329,80
2267,0,1911538,20026263,18971250,22078056.45,749319.6411,3597797.057,16
2268,4,431691,20026263,18972750,21871575.58,748259.9704,3602892.185,96
2269,613,10112,20026263,18974500,21980586.78,745614.5401,3615675.198,48
2270,802,14648,20026263,18976000,22275159.93,743505.6781,3625930.614,64
2271,800,14600,20026263,18977750,23573318.09,739825.6075,3643966.865,16
2272,6,223571,20026263,18979250,23811288.33,736686.8742,3659492.377,32
2273,984,19016,20026263,18981000,23475502.79,736686.8742,3659492.377,128
2274,18,146705,20026263,18982750,24634641.12,734603.2627,3669872.075,64
2275,0,1911538,20026263,18984250,24782034.08,730967.2558,3688126.901,16
2276,2,825187,20026263,18986000,25047245.84,728899.8214,3698587.818,64
2277,38,97994,20026263,18987750,24292262.33,733022.9952,3677783.668,256
2278,18,146705,20026263,18989500,24600611.26,729394.81,3696077.848,16
2279,40,88540,20026263,18991250,24689660.25,731457.7969,3685653.515,192
2280,1,892220,20026263,18993000,25066116.69,728871.7697,3698730.164,48
2281,47,78439,20026263,18994750,25217818.18,730933.2773,3688298.349,192
2282,954,18296,20026263,18996500,25371583.35,727315.4353,3706644.832,16
2283,38,97994,20026263,18998250,25587468.52,723715.5004,3725082.575,16
2284,14,168298,20026263,19000000,25868348.15,724227.2313,3722450.473,144
2285,31,109767,20026263,19001750,25543427.01,725763.5097,3714570.882,176
2286,53,63033,20026263,19003750,25461253.46,723197.6143,3727750.129,48
2287,761,13664,20026263,19005500,24416364.59,731890.8153,3683472.922,400
2288,611,10064,20026263,19007500,24556253.69,728268.2339,3701795.403,16
2289,14,168298,20026263,19009250,24922435.83,725178.533,3717567.298,32
2290,13,174947,20026263,19011250,24400802.77,727229.5948,3707082.356,192
2291,669,11456,20026263,19013250,24872756.89,723630.0847,3725522.276,16
2292,716,12584,20026263,19015250,24300372.28,725676.767,3715014.897,192
2293,821,15104,20026263,19017250,24711061.9,725676.767,3715014.897,128
2294,1,892220,20026263,19019250,24631698.73,724137.4137,3722912.183,80
2295,56,55351,20026263,19021250,24662270.57,721577.2673,3736121.026,48
2296,990,19160,20026263,19023250,24101060.09,724128.3625,3722958.718,208
2297,59,51368,20026263,19025500,23266318.17,729248.5913,3696818.934,288
2298,990,19160,20026263,19027500,23586221.39,725639.0879,3715207.801,16
2299,1,892220,20026263,19029750,24176323.22,723073.6324,3728389.308,48
2300,0,1911538,20026263,19032000,23738081.69,725118.7408,3717873.844,192
2301,17,155605,20026263,19034000,23762896.32,722042.4018,3733714.243,32
2302,0,1911538,20026263,19036250,23636185.71,721531.8539,3736356.178,112
2303,0,1911538,20026263,19038750,23460927.32,720511.48,3741647.53,96
2304,27,119935,20026263,19041000,22999280.98,728153.4615,3702378.884,368
2305,35,105030,20026263,19043250,23405588.18,728153.4615,3702378.884,128
2306,546,8504,20026263,19045750,23232826.41,730212.9374,3691936.779,192
2307,15,167033,20026263,19048250,21303324.9,749833.2956,3595332.477,736
2308,12,181074,20026263,19050750,21395216.52,746121.9058,3613216.525,16
2309,593,9632,20026263,19053250,21283712.41,747177.0543,3608114.013,160
2310,0,1911538,20026263,19055750,21172819.58,751403.6171,3587818.768,256
2311,0,1911538,20026263,19058250,20866203.25,751934.926,3585283.655,144
2312,36,104336,20026263,19061000,20123170.49,760973.564,3542698.627,400
2313,32,105412,20026263,19063750,19394125.89,771735.0781,3493297.216,448
2314,905,17120,20026263,19066500,19427356.99,767915.2827,3510673.717,16
2315,40,88540,20026263,19069250,19494801.89,764657.378,3525631.319,32
2316,0,1911538,20026263,19072000,18966042.19,772226.9049,3491072.356,352
2317,715,12560,20026263,19074750,18995483.78,768950.708,3505946.444,32
2318,3,800279,20026263,19077750,18738237.97,773300.438,3486225.88,256
2319,1,892220,20026263,19080500,18860707.54,770019.6866,3501079.319,32
2320,2,825187,20026263,19083500,18825649.6,770019.6866,3501079.319,128
2321,658,11192,20026263,19086500,19177510.98,767297.3261,3513501.101,48
2322,399,4976,20026263,19089500,19442885.73,763499.4959,3530978.101,16
2323,51,71332,20026263,19092500,18884269.44,769977.837,3501269.608,320
2324,3,800279,20026263,19095750,18881150.92,766711.1819,3516187.143,32
2325,441,5984,20026263,19098750,19071430.08,762916.253,3533677.503,16
2326,782,14168,20026263,19102000,18199154.34,774244.6894,3481974.157,464
2327,2,825187,20026263,19105250,18432753.98,773697.2299,3484437.963,112
2328,681,11744,20026263,19108500,18186969.38,775885.5197,3474610.534,192
2329,76,24555,20026263,19111750,18180159.14,773142.4208,3486938.405,48
2330,62,46406,20026263,19115000,18203023.11,772595.7407,3489405.724,112
2331,941,17984,20026263,19118500,18196359.72,770956.8598,3496823.416,80
2332,14,168298,20026263,19121750,18042348.05,769866.5903,3501775.547,96
2333,909,17216,20026263,19125250,18362006.8,766056.0433,3519194.22,16
2334,3,800279,20026263,19128750,18508900.38,762806.0265,3534188.124,32
2335,2,825187,20026263,19132250,18816864.63,765502.8836,3521737.224,208
2336,4,431691,20026263,19135750,18439707.13,770374.3886,3499467.324,272
2337,0,1911538,20026263,19139250,18619651.19,767106.051,3514377.179,32
2338,38,97994,20026263,19142750,18646700.8,764936.4034,3524345.276,64
2339,0,1911538,20026263,19146250,18185389.13,769263.4256,3504521.221,256
2340,40,88540,20026263,19150000,18090101.87,769807.363,3502044.965,144
2341,718,12632,20026263,19153500,17708330.46,774161.9389,3482346.347,256
2342,906,17144,20026263,19157250,17421462.99,777446.3452,3467634.798,224
2343,721,12704,20026263,19161000,17329203.12,775247.4515,3477470.316,64
2344,36,104336,20026263,19164500,17130696.59,775795.6201,3475013.174,144
2345,0,1911538,20026263,19168250,16935296.44,779635.5136,3457897.893,240
2346,10,193253,20026263,19172000,16844819.86,779084.2422,3460344.664,112
2347,31,109767,20026263,19175750,16309656.8,786796.584,3426425.654,352
2348,882,16568,20026263,19179500,16365579.82,782902.24,3443469.519,16
2349,55,57735,20026263,19183500,16670705.27,780134.3339,3455686.903,48
2350,7,209804,20026263,19187250,16359649.14,782892.4542,3443512.561,208
2351,806,14744,20026263,19191000,16367989.92,784553.1771,3436223.418,176
2352,0,1911538,20026263,19194750,16088998.7,787881.6686,3421706.72,224
2353,544,8456,20026263,19198750,16118911.88,788995.8728,3416874.654,160
2354,2,825187,20026263,19202500,16101833.83,785090.6431,3433871.011,16
2355,477,6848,20026263,19206500,15921140.79,785090.6431,3433871.011,128
2356,0,1911538,20026263,19210250,15972702.95,783980.3859,3438733.99,96
2357,56,55351,20026263,19214250,15703095.89,791741.1958,3405026.812,352
2358,6,223571,20026263,19218000,15550079.23,792301.0269,3402620.858,144
2359,0,1911538,20026263,19222000,15641900.17,799023.7508,3373992.321,320
2360,13,174947,20026263,19225750,15423811.87,800153.712,3369227.637,160
2361,850,15800,20026263,19229750,15403636.72,796759.0347,3383582.592,32
2362,13,174947,20026263,19233750,15559749.21,794505.5179,3393179.706,64
2363,55,57735,20026263,19237500,15540475.99,790573.0176,3410058.198,16
2364,1,892220,20026263,19241500,15769632.02,786659.9816,3427020.648,16
2365,317,3008,20026263,19245250,15797716.72,785547.505,3431873.926,96
2366,0,1911538,20026263,19249250,15872678.91,781659.3434,3448944.892,16
2367,546,8504,20026263,19253000,15902135.16,777790.4268,3466100.774,16
2368,10,193253,20026263,19257000,15979298.97,778340.3935,3463651.665,144
2369,1,892220,20026263,19260750,16350214.84,775038.2599,3478408.924,32
2370,518,7832,20026263,19264500,16336017.1,771202.1151,3495711.367,16
2371,5,258679,20026263,19268500,15911686.77,777745.8135,3466299.597,320
2372,0,1911538,20026263,19272250,16085402.58,775546.0728,3476131.328,64
2373,58,52806,20026263,19276000,15717251.07,780481.4906,3454149.82,272
2374,4,431691,20026263,19280000,15769005.62,778274.0125,3463947.089,64
2375,918,17432,20026263,19283750,15751901.31,777173.3952,3468852.661,96
2376,696,12104,20026263,19287500,16162427.63,775524.8039,3476226.662,80
2377,0,1911538,20026263,19291250,16147865.16,775524.8039,3476226.662,128
2378,0,1911538,20026263,19295000,16231314.31,775524.8039,3476226.662,128
2379,47,78439,20026263,19298750,17099880.35,777718.2628,3466422.391,192
2380,360,4040,20026263,19302250,16928543.82,777168.3471,3468875.193,112
2381,5,258679,20026263,19306000,17163556.17,773321.6591,3486130.213,16
2382,773,13952,20026263,19309750,17322269.72,774415.2729,3481207.169,160
2383,965,18560,20026263,19313250,16770546.1,785914.4568,3430271.548,464
2384,25,127707,20026263,19317000,17304248.36,784247.3234,3437563.533,80
2385,973,18752,20026263,19320500,18028174.91,781474.6618,3449759.962,48
2386,26,122460,20026263,19324000,17873929.45,780369.5182,3454645.443,96
2387,620,10280,20026263,19327500,17839992.17,777610.5664,3466902.478,48
2388,1,892220,20026263,19331000,18389741.94,775411.2083,3476735.919,64
2389,942,18008,20026263,19334500,18293997.26,773766.3551,3484126.678,80
2390,908,17192,20026263,19338000,18579372.82,773219.2338,3486592.007,112
2391,0,1911538,20026263,19341500,18514854.29,771032.2959,3496481.295,64
2392,56,55351,20026263,19345000,18418531.4,772667.8602,3489080.029,176
2393,595,9680,20026263,19348250,17922039.85,778677.6509,3462151.504,304
2394,598,9752,20026263,19351750,17278811.55,786936.5618,3425816.172,368
2395,1,892220,20026263,19355000,17412841.92,790831.5987,3408943.199,240
2396,25,127707,20026263,19358250,17126205.99,793068.3506,3399328.693,192
2397,747,13328,20026263,19361500,16558324.12,800919.1245,3366007.775,352
2398,276,2024,20026263,19364750,17217563.14,798653.8414,3375555.04,64
2399,0,1911538,20026263,19368000,17182363.7,798653.8414,3375555.04,128
2400,791,14384,20026263,19371250,17314875.87,798089.1224,3377943.546,112
2401,975,18800,20026263,19374250,17003159.55,801475.0406,3363673.057,224
2402,825,15200,20026263,19377500,17021991.41,800341.6129,3368436.623,96
2403,14,168298,20026263,19380500,17041030.01,798077.9633,3377990.778,64
2404,963,18512,20026263,19383500,17143064.98,794692.0925,3392383.069,32
2405,900,17000,20026263,19386500,17107802.08,791320.5864,3406836.681,32
2406,542,8408,20026263,19389500,16828243.79,793558.7213,3397228.116,192
2407,27,119935,20026263,19392500,17145984.67,789630.9073,3414126.746,16
2408,23,130124,20026263,19395250,17594579.4,785722.5344,3431109.434,16
2409,897,16928,20026263,19398250,17301997.7,787944.836,3421432.411,192
2410,99,13146,20026263,19401000,17323827.18,785159.1021,3433571.607,48
2411,1,892220,20026263,19403750,17605946.14,784048.7481,3438434.162,96
2412,17,155605,20026263,19406500,17571984.88,785157.5319,3433578.474,160
2413,4,431691,20026263,19409250,17985760.76,781826.4764,3448207.603,32
2414,741,13184,20026263,19412000,18390115.74,777956.7325,3465359.817,16
2415,3,800279,20026263,19414500,18454168.22,774656.2267,3480124.353,32
2416,948,18152,20026263,19417250,18649738.13,771917.4739,3492471.788,48
2417,887,16688,20026263,19419750,18651047.15,775738.172,3475270.52,240
2418,0,1911538,20026263,19422250,18619506.01,775738.172,3475270.52,128
2419,995,19280,20026263,19424750,18853015.34,779577.7811,3458153.972,240
2420,1,892220,20026263,19427000,18855443.53,775719.1674,3475355.661,16
2421,48,77925,20026263,19429500,18691238.86,775719.1674,3475355.661,128
2422,44,83613,20026263,19431750,18859366.25,775719.1674,3475355.661,128
2423,933,17792,20026263,19434250,19134699.41,772976.6566,3487686.176,48
2424,877,16448,20026263,19436500,19348593.94,772976.6566,3487686.176,128
2425,901,17024,20026263,19438750,19640970.87,769697.2789,3502545.837,32
2426,2,825187,20026263,19440750,18810192.52,778949.4293,3460943.546,400
2427,282,2168,20026263,19443000,18845729.04,778398.6431,3463392.471,112
2428,974,18776,20026263,19445000,18881581.9,776747.4528,3470754.864,80
2429,396,4904,20026263,19447250,18816903.87,785535.1206,3431928.031,384
2430,980,18920,20026263,19449250,18686152.7,788312.3351,3419837.392,208
2431,5,258679,20026263,19451250,19230131.2,786082.7086,3429537.338,64
2432,23,130124,20026263,19453250,19375075.57,784971.0484,3434394.18,96
2433,665,11360,20026263,19455000,19204645.55,784416.0043,3436824.319,112
2434,552,8648,20026263,19457000,19104941.3,783861.3527,3439256.178,112
2435,629,10496,20026263,19458750,18971753.2,782198.5746,3446567.263,80
2436,6,223571,20026263,19460500,18839716.41,780539.3236,3453893.889,80
2437,728,12872,20026263,19462250,18942720.35,777779.7714,3466148.258,48
2438,800,14600,20026263,19464000,18911568.63,774480.0163,3480916.154,32
2439,717,12608,20026263,19465750,18846804.71,771741.8865,3493266.398,48
2440,10,193253,20026263,19467250,18391359.98,779927.2344,3456604.515,368
2441,0,1911538,20026263,19469000,18232747.59,779375.7568,3459050.37,112
2442,378,4472,20026263,19470500,17892892.21,781580.1076,3449294.543,192
2443,62,46406,20026263,19472000,18482097.6,777711.5831,3466452.164,16
2444,783,14192,20026263,19473500,17447891.98,794208.912,3394446.926,608
2445,4,431691,20026263,19475000,17131936.98,805440.4328,3347112.822,448
2446,862,16088,20026263,19476500,17096873.85,803731.8796,3354228.031,80
2447,0,1911538,20026263,19477750,17116938.2,802026.9508,3361358.365,80
2448,33,105197,20026263,19479000,17220906.35,798057.2222,3378078.57,16
2449,22,134073,20026263,19480500,17075110.04,800878.7079,3366177.642,208
2450,448,6152,20026263,19481750,17234494.26,797480.9548,3380519.602,32
2451,58,52806,20026263,19482750,17369438.23,796917.0652,3382911.62,112
2452,17,155605,20026263,19484000,17507451.62,793536.1195,3397324.878,32
2453,640,10760,20026263,19485250,17473405.68,790169.5176,3411799.544,32
2454,810,14840,20026263,19486250,17555294.71,789610.7978,3414213.696,112
2455,0,1911538,20026263,19487500,18185382.92,789610.7978,3414213.696,128
2456,0,1911538,20026263,19488500,17906646.31,792960.7464,3399789.98,224
2457,57,53241,20026263,19489500,17873584.57,790717.9725,3409433.064,64
2458,646,10904,20026263,19490500,17750435.76,791836.1877,3404618.331,160
2459,0,1911538,20026263,19491250,17569506.91,792396.0861,3402212.665,144
2460,673,11552,20026263,19492250,17653091.98,788474.0266,3419136.09,16
2461,0,1911538,20026263,19493000,17678555.79,786243.9427,3428834.047,64
2462,907,17168,20026263,19494000,17824000.4,782908.2781,3443442.962,32
2463,44,83613,20026263,19494750,17881336.23,779586.7652,3458114.119,32
2464,745,13280,20026263,19495500,17291885.15,792265.2136,3402774.669,496
2465,4,431691,20026263,19496250,17692297.26,790584.6085,3410008.203,80
2466,45,81602,20026263,19496750,18114365.17,791143.6219,3407598.729,144
2467,23,130124,20026263,19497500,18429838.25,789465.3961,3414842.517,80
2468,32,105412,20026263,19498000,18494967.17,790581.84,3410020.144,160
2469,963,18512,20026263,19498500,18995717.09,790022.8286,3412433.037,112
2470,0,1911538,20026263,19499250,18863334.58,790022.8286,3412433.037,128
2471,2,825187,20026263,19499750,19036441.54,787229.7481,3424540.303,48
2472,55,57735,20026263,19500000,19178700.01,784446.5423,3436690.526,48
2473,807,14768,20026263,19500500,19647576.68,780563.8301,3453785.451,16
2474,803,14672,20026263,19501000,19802218.52,777252.2635,3468500.674,32
2475,4,431691,20026263,19501250,19374157.95,781648.953,3448990.739,256
2476,794,14456,20026263,19501750,19273656.51,779990.8679,3456322.517,80
2477,31,109767,20026263,19502000,19278661.73,776681.7322,3471048.55,32
2478,47,78439,20026263,19502250,19569311.29,774485.0011,3480893.75,64
2479,0,1911538,20026263,19502500,19467816.3,772294.4831,3490766.876,64
2480,939,17936,20026263,19502500,19402412.23,769564.0802,3503152.069,48
2481,590,9560,20026263,19502750,19266640.24,773917.2798,3483447.224,256
2482,953,18272,20026263,19503000,19341948.67,770086.6834,3500774.728,16
2483,39,91384,20026263,19503000,19382639.16,768453.125,3508216.588,80
2484,56,55351,20026263,19503000,19531170.58,767366.3961,3513184.853,96
2485,882,16568,20026263,19503250,19114257.22,770621.9722,3498343.023,224
2486,0,1911538,20026263,19503250,18981064.7,768987.2782,3505779.714,80
2487,3,800279,20026263,19503250,18169766.41,779318.3783,3459305.048,432
2488,635,10640,20026263,19503000,18075159.64,778216.2841,3464204.046,96
2489,905,17120,20026263,19503000,18291741.8,778216.2841,3464204.046,128
2490,0,1911538,20026263,19503000,18259371.01,778766.5519,3461756.278,144
2491,713,12512,20026263,19502750,18677195.59,775462.6104,3476505.461,32
2492,934,17816,20026263,19502750,18547679.92,773817.6481,3483895.73,80
2493,956,18344,20026263,19502500,18451331.59,775459.121,3476521.105,176
2494,35,105030,20026263,19502250,18646417.78,772169.2113,3491333.196,32
2495,780,14120,20026263,19502000,18549605.48,771077.2273,3496277.551,96
2496,7,209804,20026263,19501750,18615481.12,769986.7875,3501228.909,96
2497,10,193253,20026263,19501500,18518814.45,768353.4409,3508671.734,80
2498,8,198284,20026263,19501250,19086681.4,768353.4409,3508671.734,128
2499,35,105030,20026263,19500750,19124822.91,767266.8531,3513640.644,96
2500,497,7328,20026263,19500500,19232872.32,764011.6994,3528610.887,32
2501,740,13160,20026263,19500250,19307388.06,771574.8345,3494022.718,352
2502,540,8360,20026263,19499750,19597763.7,769938.1192,3501450.224,80
2503,758,13592,20026263,19499500,19604225.44,767760.4615,3511381.655,64
2504,25,127707,20026263,19499000,19793609.28,763960.339,3528848.112,16
2505,407,5168,20026263,19498500,19654487.98,765580.9019,3521378.333,176
2506,58,52806,20026263,19498000,19624842.08,765580.9019,3521378.333,128
2507,708,12392,20026263,19497500,19777554.66,761791.5674,3538894.516,16
2508,18,146705,20026263,19497000,19784913.64,760175.605,3546417.409,80
2509,96,14260,20026263,19496500,19645971.84,759638.0936,3548926.815,112
2510,0,1911538,20026263,19496000,18884495.67,768232.1961,3509225.484,384
2511,789,14336,20026263,19495500,18920269.28,764972.9469,3524176.915,32
2512,1,892220,20026263,19495000,19265443.44,767677.465,3511761.284,208
2513,0,1911538,20026263,19494500,18595800.96,777990.9682,3465207.323,432
2514,16,157617,20026263,19493750,18499197.2,781841.7278,3448140.339,240
2515,37,100167,20026263,19493250,18403045.7,779630.4024,3457920.563,64
2516,920,17480,20026263,19492750,19624822.92,776322.796,3472653.404,32
2517,634,10616,20026263,19492000,20579710.77,773578.1511,3484974.332,48
2518,958,18392,20026263,19491500,20316210.55,775766.1042,3475145.389,192
2519,924,17576,20026263,19490750,20172174.42,776314.6395,3472689.89,144
2520,0,1911538,20026263,19490250,19623899.62,780706.0251,3453156.391,256
2521,890,16760,20026263,19489500,20073263.36,776841.827,3470333.221,16
2522,802,14648,20026263,19488750,20043941.92,774095.3472,3482645.917,48
2523,2,825187,20026263,19488250,20014538.23,774095.3472,3482645.917,128
2524,2,825187,20026263,19487500,19263711.25,782305.6566,3446095.496,368
2525,0,1911538,20026263,19486750,19163705,780646.1785,3453421.12,80
2526,1,892220,20026263,19486250,18962608.14,783406.1084,3441254.76,208
2527,660,11240,20026263,19485500,19203457.61,779528.5459,3458372.389,16
2528,989,19136,20026263,19484750,19630496.8,776221.3716,3473107.155,32
2529,914,17336,20026263,19484250,19672428.18,773477.0853,3485429.693,48
2530,939,17936,20026263,19483500,20009983.69,769648.6677,3502767.059,16
2531,962,18488,20026263,19482750,20130885.9,768560.2482,3507727.607,96
2532,2,825187,20026263,19482000,19914453.07,768016.808,3510209.636,112
2533,966,18584,20026263,19481250,19847810.37,766930.6962,3515180.724,96
2534,951,18224,20026263,19480750,19891581,763134.6808,3532666.078,16
2535,694,12056,20026263,19480000,19289204.82,769070.3226,3505401.159,304
2536,635,10640,20026263,19479250,19682847.04,775595.9326,3475907.862,320
2537,0,1911538,20026263,19478500,19091993.5,783273.7428,3441836.299,352
2538,387,4688,20026263,19477750,19335699.56,779950.6793,3456500.611,32
2539,69,32121,20026263,19477000,19269908.59,779399.1851,3458946.393,112
2540,781,14144,20026263,19476250,19590398.62,775541.4554,3476152.024,16
2541,2,825187,20026263,19475750,19776315.71,772251.1964,3490962.542,32
2542,4,431691,20026263,19475000,19855759.14,771159.0964,3495906.373,96
2543,836,15464,20026263,19474250,19716359.43,770613.8187,3498380.038,112
2544,25,127707,20026263,19473500,19158682.95,776607.6331,3471379.736,304
2545,294,2456,20026263,19472750,19161342.45,772763.7204,3488647.214,16
2546,543,8432,20026263,19472000,19028065.75,771670.8956,3493587.765,96
2547,0,1911538,20026263,19471500,19097689.93,774944.7336,3478828.725,224
2548,53,63033,20026263,19470750,18411746.85,784807.9157,3435108.064,416
2549,920,17480,20026263,19470000,18160827.74,785917.7731,3430257.073,160
2550,493,7232,20026263,19469250,18188667.06,783139.2057,3442427.579,48
2551,34,105168,20026263,19468500,18124391.24,782031.7082,3447302.676,96
2552,944,18056,20026263,19468000,17614980.96,788667.2963,3418298.201,320
2553,489,7136,20026263,19467250,17638047.66,792570.8997,3401462.255,240
2554,757,13568,20026263,19466500,17459781.28,792010.4819,3403869.092,112
